terrain_path,satellite_path,slope_variation,elevation_change,water_proximity,vegetation_density,coastal,has_lake,has_river,z,x,y
13525_24727.png,13525_24727.png,0.0344423770904541,299.2998046875,0.0005340576171875,0.4029602110385895,False,False,False,16,13525,24727
13525_24728.png,13525_24728.png,0.040049354235331215,377.400390625,0.0490264892578125,0.40872490406036377,False,False,False,16,13525,24728
13525_24729.png,13525_24729.png,0.03458391427993775,377.099609375,0.054901123046875,0.49681204557418823,False,False,False,16,13525,24729
13525_24730.png,13525_24730.png,0.08021963437398275,398.0,0.0012664794921875,0.421980082988739,False,False,False,16,13525,24730
13525_24731.png,13525_24731.png,0.06693180402119954,271.7001953125,0.000457763671875,0.38015931844711304,False,False,False,16,13525,24731
13525_24732.png,13525_24732.png,0.06138538916905721,341.900390625,0.0015411376953125,0.41716137528419495,False,False,False,16,13525,24732
13525_24733.png,13525_24733.png,0.056997382640838624,192.6005859375,0.0004425048828125,0.3582373559474945,False,False,False,16,13525,24733
13525_24734.png,13525_24734.png,0.0021779581904411314,27.7998046875,0.003631591796875,0.3647494316101074,False,False,False,16,13525,24734
13525_24735.png,13525_24735.png,0.05128015677134196,201.2001953125,7.62939453125e-05,0.35826992988586426,False,False,False,16,13525,24735
13525_24736.png,13525_24736.png,0.03687937259674072,199.099609375,3.0517578125e-05,0.3572685718536377,False,False,False,16,13525,24736
13525_24737.png,13525_24737.png,0.014752490321795146,87.2998046875,0.0018768310546875,0.35270899534225464,False,False,False,16,13525,24737
13525_24738.png,13525_24738.png,0.02608306606610616,100.6005859375,0.000640869140625,0.3486175537109375,False,False,False,16,13525,24738
13525_24739.png,13525_24739.png,0.02539236346880595,98.69921875,0.002471923828125,0.3448452949523926,False,False,False,16,13525,24739
13525_24740.png,13525_24740.png,0.029035719235738118,225.0,0.0012664794921875,0.34884175658226013,False,False,False,16,13525,24740
13525_24741.png,13525_24741.png,0.03627179463704427,243.3994140625,0.033935546875,0.3686513304710388,False,False,False,16,13525,24741
13525_24742.png,13525_24742.png,0.021648595730463665,203.2998046875,0.0722198486328125,0.390905499458313,False,False,False,16,13525,24742
13525_24743.png,13525_24743.png,0.016906273365020753,357.3994140625,0.012359619140625,0.35402971506118774,False,False,False,16,13525,24743
13526_24727.png,13526_24727.png,0.053192543983459475,356.7998046875,0.0023651123046875,0.36911213397979736,False,False,False,16,13526,24727
13526_24728.png,13526_24728.png,0.04638780355453491,297.5,0.0464019775390625,0.3133898973464966,False,False,False,16,13526,24728
13526_24729.png,13526_24729.png,0.047285219033559166,238.400390625,0.0243072509765625,0.46264660358428955,False,False,False,16,13526,24729
13526_24730.png,13526_24730.png,0.04822211265563965,326.2998046875,0.08984375,0.474067747592926,False,False,False,16,13526,24730
13526_24731.png,13526_24731.png,0.04812713464101156,383.0,0.0531768798828125,0.40718427300453186,False,False,False,16,13526,24731
13526_24732.png,13526_24732.png,0.05823904275894165,418.099609375,0.02069091796875,0.4572102725505829,False,False,False,16,13526,24732
13526_24733.png,13526_24733.png,0.06178487936655681,370.69921875,0.00213623046875,0.3557054102420807,False,False,False,16,13526,24733
13526_24734.png,13526_24734.png,0.08594013849894205,330.400390625,0.000244140625,0.36759650707244873,False,False,False,16,13526,24734
13526_24735.png,13526_24735.png,0.03802513281504313,365.5,0.000885009765625,0.3561868965625763,False,False,False,16,13526,24735
13526_24736.png,13526_24736.png,0.060424518585205075,278.80078125,1.52587890625e-05,0.35692518949508667,False,False,False,16,13526,24736
13526_24737.png,13526_24737.png,0.004497800767421722,48.0,0.0259246826171875,0.34843093156814575,False,False,False,16,13526,24737
13526_24738.png,13526_24738.png,0.006989192962646484,70.900390625,0.009521484375,0.3368588984012604,False,False,False,16,13526,24738
13526_24739.png,13526_24739.png,0.017563480138778686,170.7001953125,0.001861572265625,0.34598270058631897,False,False,False,16,13526,24739
13526_24740.png,13526_24740.png,0.03384956518809001,291.2998046875,0.0358734130859375,0.35139551758766174,False,False,False,16,13526,24740
13526_24741.png,13526_24741.png,0.03431841532389323,264.7001953125,0.0026397705078125,0.3546922504901886,False,False,False,16,13526,24741
13526_24742.png,13526_24742.png,0.028387908140818277,262.2998046875,0.0019073486328125,0.3549380600452423,False,False,False,16,13526,24742
13526_24743.png,13526_24743.png,0.01358033021291097,252.2001953125,0.0001373291015625,0.3462100923061371,False,False,False,16,13526,24743
13527_24727.png,13527_24727.png,0.026192752520243327,345.099609375,0.0046234130859375,0.36561882495880127,False,False,False,16,13527,24727
13527_24728.png,13527_24728.png,0.037024156252543135,353.8994140625,0.0252685546875,0.4636644423007965,False,False,False,16,13527,24728
13527_24729.png,13527_24729.png,0.030870137612024943,296.7001953125,0.010650634765625,0.5628334283828735,False,False,False,16,13527,24729
13527_24730.png,13527_24730.png,0.025986623764038087,289.0,0.003021240234375,0.5948649048805237,False,False,False,16,13527,24730
13527_24731.png,13527_24731.png,0.0401945432027181,263.30078125,0.0286407470703125,0.4866964817047119,False,False,False,16,13527,24731
13527_24732.png,13527_24732.png,0.05399151643117269,431.599609375,0.005950927734375,0.46926063299179077,False,False,False,16,13527,24732
13527_24733.png,13527_24733.png,0.03353254000345866,335.2001953125,0.025421142578125,0.3696933090686798,False,False,False,16,13527,24733
13527_24734.png,13527_24734.png,0.08244458039601645,483.7001953125,0.0176849365234375,0.3702685832977295,False,False,False,16,13527,24734
13527_24735.png,13527_24735.png,0.04994991620381673,336.7001953125,0.070037841796875,0.3650079667568207,False,False,False,16,13527,24735
13527_24736.png,13527_24736.png,0.06404357353846232,318.599609375,0.0001373291015625,0.3649876117706299,False,False,False,16,13527,24736
13527_24737.png,13527_24737.png,0.03737535079320272,148.900390625,0.000152587890625,0.3558369576931,False,False,False,16,13527,24737
13527_24738.png,13527_24738.png,0.017486178874969484,106.7998046875,0.0044403076171875,0.34791383147239685,False,False,False,16,13527,24738
13527_24739.png,13527_24739.png,0.00844413141409556,77.400390625,0.0107574462890625,0.34517642855644226,False,False,False,16,13527,24739
13527_24740.png,13527_24740.png,0.009132323662439983,124.2998046875,0.0004425048828125,0.3461155295372009,False,False,False,16,13527,24740
13527_24741.png,13527_24741.png,0.006585959096749624,91.2998046875,0.01123046875,0.3462780714035034,False,False,False,16,13527,24741
13527_24742.png,13527_24742.png,0.009513892730077108,113.0,0.0004425048828125,0.34099051356315613,False,False,False,16,13527,24742
13527_24743.png,13527_24743.png,0.0069349005818367,159.8994140625,0.001800537109375,0.3444000780582428,False,False,False,16,13527,24743
13528_24727.png,13528_24727.png,0.021451022227605185,293.1005859375,0.035736083984375,0.38009709119796753,False,False,False,16,13528,24727
13528_24728.png,13528_24728.png,0.02017245292663574,126.099609375,0.0021820068359375,0.44988447427749634,False,False,False,16,13528,24728
13528_24729.png,13528_24729.png,0.031124937534332275,236.0,0.055084228515625,0.583236813545227,False,False,False,16,13528,24729
13528_24730.png,13528_24730.png,0.04073787927627563,359.2998046875,0.0240020751953125,0.49513161182403564,False,False,False,16,13528,24730
13528_24731.png,13528_24731.png,0.041133999824523926,302.80078125,0.000701904296875,0.4631972908973694,False,False,False,16,13528,24731
13528_24732.png,13528_24732.png,0.024688591559727985,113.7001953125,0.086181640625,0.4406217038631439,False,False,False,16,13528,24732
13528_24733.png,13528_24733.png,0.030882481733957926,215.099609375,0.042877197265625,0.4043448865413666,False,False,False,16,13528,24733
13528_24734.png,13528_24734.png,0.030586769183476765,205.099609375,0.0001220703125,0.3830867409706116,False,False,False,16,13528,24734
13528_24735.png,13528_24735.png,0.04084930419921875,361.099609375,0.004547119140625,0.367120623588562,False,False,False,16,13528,24735
13528_24736.png,13528_24736.png,0.034382736682891844,181.400390625,0.000518798828125,0.35144293308258057,False,False,False,16,13528,24736
13528_24737.png,13528_24737.png,0.04519948959350586,228.7001953125,0.039947509765625,0.3553923964500427,False,False,False,16,13528,24737
13528_24738.png,13528_24738.png,0.03908392588297526,208.2998046875,0.0036163330078125,0.3549361228942871,False,False,False,16,13528,24738
13528_24739.png,13528_24739.png,0.06740399201711018,366.2001953125,0.0048828125,0.34890422224998474,False,False,False,16,13528,24739
13528_24740.png,13528_24740.png,0.06540268262227376,329.1005859375,7.62939453125e-05,0.3479844331741333,False,False,False,16,13528,24740
13528_24741.png,13528_24741.png,0.04515596628189087,226.599609375,0.0013427734375,0.348623126745224,False,False,False,16,13528,24741
13528_24742.png,13528_24742.png,0.028601157665252685,184.7001953125,0.0003509521484375,0.34551021456718445,False,False,False,16,13528,24742
13528_24743.png,13528_24743.png,0.006571091711521149,166.7001953125,0.0074615478515625,0.343412846326828,False,False,False,16,13528,24743
13529_24727.png,13529_24727.png,0.022692793607711793,229.5,0.0412445068359375,0.39568036794662476,False,False,False,16,13529,24727
13529_24728.png,13529_24728.png,0.021149454514185588,149.400390625,0.0020294189453125,0.4346132278442383,False,False,False,16,13529,24728
13529_24729.png,13529_24729.png,0.013334145148595175,102.19921875,0.0023040771484375,0.46418485045433044,False,False,False,16,13529,24729
13529_24730.png,13529_24730.png,0.022017842531204222,136.3994140625,0.0740814208984375,0.4631003141403198,False,False,False,16,13529,24730
13529_24731.png,13529_24731.png,0.023173308372497557,237.5,0.00048828125,0.4555165767669678,False,False,False,16,13529,24731
13529_24732.png,13529_24732.png,0.03332139452298482,261.7998046875,0.045806884765625,0.4122837781906128,False,False,False,16,13529,24732
13529_24733.png,13529_24733.png,0.03554666439692179,177.5,0.0392913818359375,0.4204001724720001,False,False,False,16,13529,24733
13529_24734.png,13529_24734.png,0.019478694597880045,207.6005859375,0.069061279296875,0.3875231146812439,False,False,False,16,13529,24734
13529_24735.png,13529_24735.png,0.01698260505994161,266.599609375,0.002349853515625,0.363627165555954,False,False,False,16,13529,24735
13529_24736.png,13529_24736.png,0.07023384571075439,292.2998046875,4.57763671875e-05,0.3641011118888855,False,False,False,16,13529,24736
13529_24737.png,13529_24737.png,0.06569385528564453,364.2998046875,0.00994873046875,0.36387526988983154,False,False,False,16,13529,24737
13529_24738.png,13529_24738.png,0.03362645308176677,367.2998046875,0.0197601318359375,0.3561854660511017,False,False,False,16,13529,24738
13529_24739.png,13529_24739.png,0.03890458345413208,330.7001953125,0.0416717529296875,0.3526708781719208,False,False,False,16,13529,24739
13529_24740.png,13529_24740.png,0.07315597534179688,411.2001953125,0.0289306640625,0.3535129129886627,False,False,False,16,13529,24740
13529_24741.png,13529_24741.png,0.08080877463022867,379.400390625,0.0551300048828125,0.36118581891059875,False,False,False,16,13529,24741
13529_24742.png,13529_24742.png,0.0653100291887919,292.900390625,0.0077362060546875,0.3489361107349396,False,False,False,16,13529,24742
13529_24743.png,13529_24743.png,0.06833426157633464,265.599609375,0.0003814697265625,0.35075843334198,False,False,False,16,13529,24743
13530_24727.png,13530_24727.png,0.014891459544499715,194.69921875,0.0514984130859375,0.40902280807495117,False,False,False,16,13530,24727
13530_24728.png,13530_24728.png,0.017235773801803588,148.2998046875,0.0046539306640625,0.40788695216178894,False,False,False,16,13530,24728
13530_24729.png,13530_24729.png,0.013315773010253907,135.2001953125,0.0385589599609375,0.42634227871894836,False,False,False,16,13530,24729
13530_24730.png,13530_24730.png,0.0337465763092041,200.2998046875,0.0112457275390625,0.5234196186065674,False,False,False,16,13530,24730
13530_24731.png,13530_24731.png,0.025684219598770142,274.7998046875,0.0012054443359375,0.4298953413963318,False,False,False,16,13530,24731
13530_24732.png,13530_24732.png,0.016470022002855935,156.0,0.0577545166015625,0.42388513684272766,False,False,False,16,13530,24732
13530_24733.png,13530_24733.png,0.013450497388839721,103.2998046875,0.0353851318359375,0.40778449177742004,False,False,False,16,13530,24733
13530_24734.png,13530_24734.png,0.009130844473838806,234.7998046875,0.037322998046875,0.36983901262283325,False,False,False,16,13530,24734
13530_24735.png,13530_24735.png,0.038499136765797935,218.099609375,0.0037994384765625,0.3654840290546417,False,False,False,16,13530,24735
13530_24736.png,13530_24736.png,0.07447635332743327,501.0,0.0137786865234375,0.3696604371070862,False,False,False,16,13530,24736
